Step,HeapUsed_MB,HeapTotal_MB,CPU_User_us,CPU_System_us,TimeDelta_ms
10,8.2232,11.2813,500000,46000,0.6249
20,8.2712,11.2813,500000,46000,1.4343
30,8.3243,11.2813,515000,46000,1.6928
40,8.3695,11.2813,515000,46000,1.4809
50,8.4184,11.2813,515000,46000,1.2964
60,8.4605,11.2813,515000,46000,1.0155
70,8.5072,11.2813,515000,46000,1.4978
80,8.5521,11.2813,515000,46000,1.4465
90,8.5958,11.2813,515000,46000,1.3677
100,8.5810,11.2813,515000,46000,1.3417
110,7.3043,11.7813,515000,46000,2.4717
120,7.3656,11.7813,515000,46000,1.3888
130,7.4041,11.7813,515000,46000,1.0448
140,7.4403,11.7813,531000,46000,1.0429
150,7.4829,11.7813,531000,46000,1.5191
160,7.5177,11.7813,531000,46000,0.8953
170,7.5509,11.7813,531000,46000,0.8350
180,7.5857,11.7813,531000,46000,0.7218
190,7.6241,11.7813,531000,46000,0.6959
200,7.6679,11.7813,531000,46000,0.8862
210,7.7004,11.7813,531000,46000,1.1177
220,7.7344,11.7813,531000,46000,1.0777
230,7.7711,11.7813,531000,46000,0.5950
240,7.8084,11.7813,531000,46000,0.7425
250,7.8450,11.7813,531000,46000,0.6955
260,7.8792,11.7813,531000,46000,0.6973
270,7.9152,11.7813,531000,46000,0.7138
280,7.9512,11.7813,531000,46000,0.6814
290,7.9890,11.7813,531000,46000,0.8117
300,8.0229,11.7813,531000,46000,0.6685
310,8.0506,11.7813,531000,46000,0.6839
320,8.0859,11.7813,531000,46000,0.6391
330,8.1197,11.7813,531000,46000,0.6315
340,8.1534,11.7813,531000,62000,0.4948
350,8.1894,11.7813,531000,62000,0.7565
360,8.2221,11.7813,531000,62000,1.0653
370,8.2554,11.7813,531000,62000,0.8170
380,8.2842,11.7813,531000,62000,0.9166
390,8.3176,11.7813,531000,62000,0.9600
400,8.3556,11.7813,531000,62000,0.8969
410,8.3897,11.7813,531000,62000,0.9863
420,8.4240,11.7813,531000,62000,0.9849
430,8.4586,11.7813,531000,62000,0.8587
440,8.4920,11.7813,531000,62000,0.9888
450,8.5252,11.7813,531000,62000,0.9650
460,8.5594,11.7813,531000,62000,0.8403
470,8.5963,11.7813,531000,62000,0.8272
480,8.6286,11.7813,531000,62000,1.1429
490,8.6631,11.7813,531000,62000,1.0155
500,8.6998,11.7813,531000,62000,0.8771
510,8.7355,11.7813,531000,78000,0.6968
520,8.7639,11.7813,531000,78000,0.7666
530,7.2733,12.2813,531000,78000,1.2244
540,7.3067,12.2813,531000,78000,1.0350
550,7.3418,12.2813,531000,78000,0.7354
560,7.3789,12.2813,531000,78000,0.8395
570,7.4114,12.2813,531000,78000,0.7393
580,7.4465,12.2813,531000,78000,0.8478
590,7.4795,12.2813,531000,78000,1.0504
600,7.5118,12.2813,531000,78000,0.7180
610,7.5415,12.2813,531000,78000,0.9247
620,7.5750,12.2813,531000,78000,0.9407
630,7.6087,12.2813,531000,78000,0.6737
640,7.6437,12.2813,531000,78000,0.9115
650,7.6767,12.2813,531000,78000,0.6841
660,7.7117,12.2813,531000,78000,0.6506
670,7.7424,12.2813,531000,78000,0.6954
680,7.7747,12.2813,531000,78000,0.7829
690,7.8052,12.2813,531000,78000,0.6890
700,7.8405,12.2813,546000,78000,0.7257
710,7.8721,12.2813,546000,78000,0.7162
