Step,RSS_MB,TimeDelta_ms
10,19.0938,0.4754
20,19.1055,0.5555
30,19.1055,0.5157
40,19.1094,0.3972
50,19.1094,0.4289
60,19.1094,0.4585
70,19.1094,0.4184
80,19.1094,0.3779
90,19.1094,0.4265
100,19.1094,0.3967
110,19.1094,0.4482
120,19.1094,0.3884
130,19.1094,0.4058
140,19.1094,0.4377
150,19.1094,0.4609
160,19.1094,0.4246
170,19.1094,0.4759
180,19.1094,0.4497
190,19.1094,0.4711
200,19.1094,0.4046
210,19.1094,0.4752
220,19.1094,0.4101
230,19.1094,0.4313
240,19.1094,0.4222
250,19.1094,0.4539
260,19.1094,0.4499
270,19.1094,0.4091
280,19.1094,0.3958
290,19.1094,0.4249
300,19.1094,0.4110
310,19.1094,0.3784
320,19.1094,0.4768
330,19.1094,0.3862
340,19.1094,0.4299
350,19.1094,0.3862
360,19.1094,0.4902
370,19.1094,0.4349
380,19.1094,0.3505
390,19.1094,0.4094
400,19.1094,0.3967
410,19.1094,0.4261
420,19.1094,0.4423
430,19.1133,0.4163
440,19.1133,0.3815
450,19.1133,0.3903
460,19.1133,0.4323
470,19.1133,0.3619
480,19.1133,0.4165
490,19.1133,0.4127
500,19.1133,0.3731
510,19.1133,0.3901
520,19.1133,0.3815
530,19.1133,0.4244
540,19.1133,0.3846
550,19.1133,0.3653
560,19.1133,0.4296
570,19.1133,0.4208
580,19.1133,0.4296
590,19.1133,0.3819
600,19.1133,0.3936
610,19.1133,0.4451
620,19.1133,0.4046
630,19.1133,0.4060
640,19.1133,0.3598
650,19.1133,0.3810
660,19.1133,0.4244
670,19.1133,0.4249
680,19.1133,0.4253
690,19.1133,0.3884
700,19.1133,0.3729
710,19.1133,0.3960
720,19.1133,0.3719
730,19.1133,0.3910
740,19.1133,0.3955
750,19.1133,0.3700
760,19.1133,0.3948
770,19.1133,0.4294
780,19.1133,0.3812
790,19.1133,0.3693
800,19.1133,0.3948
810,19.1133,0.4146
820,19.1133,0.3781
830,19.1133,0.3967
840,19.1133,0.3722
850,19.1133,0.3932
860,19.1133,0.4077
870,19.1133,0.3753
880,19.1133,0.3855
890,19.1133,0.3679
900,19.1133,0.3974
910,19.1133,0.3850
920,19.1133,0.3984
930,19.1211,0.3808
940,19.1211,0.3209
950,19.1211,0.4263
960,19.1211,0.3688
970,19.1211,0.3922
980,19.1211,0.3936
990,19.1211,0.3543
1000,19.1211,0.3171
1010,19.1211,0.3810
1020,19.1211,0.3505
1030,19.1211,0.3552
1040,19.1211,0.3712
1050,19.1211,0.3898
1060,19.1250,0.3717
1070,19.1250,0.4053
1080,19.1250,0.3855
1090,19.1250,0.3989
1100,19.1250,0.3772
1110,19.1250,0.3934
1120,19.1250,0.4172
1130,19.1250,0.3932
1140,19.1250,0.3860
1150,19.1250,0.3788
1160,19.1250,0.3564
1170,19.1250,0.3843
1180,19.1250,0.3722
1190,19.1250,0.3898
1200,19.1250,0.3870
1210,19.1250,0.3636
