Step,HeapUsed_MB,HeapTotal_MB,CPU_User_us,CPU_System_us,TimeDelta_ms
10,8.3191,11.2813,203000,140000,0.6290
20,8.4247,11.2813,218000,140000,0.9785
30,8.5345,11.2813,218000,140000,1.2109
40,8.5959,11.2813,218000,140000,1.4557
50,7.5576,11.7813,218000,140000,2.1535
60,7.6583,11.7813,218000,140000,1.0209
70,7.7609,11.7813,218000,140000,1.0821
80,7.8619,11.7813,218000,140000,1.1737
90,7.9655,11.7813,218000,140000,1.1647
100,8.0618,11.7813,218000,140000,1.2768
110,8.1586,11.7813,218000,140000,1.0633
120,8.2600,11.7813,218000,140000,1.2581
130,8.3806,11.7813,218000,140000,1.2204
140,8.4838,11.7813,218000,140000,0.9697
150,8.5760,11.7813,234000,140000,1.1834
160,8.6693,11.7813,234000,140000,0.9076
170,8.7621,11.7813,234000,140000,0.6953
180,8.2021,12.2813,234000,140000,2.1990
190,8.2924,12.2813,234000,140000,0.8171
200,8.4016,12.2813,234000,140000,0.8173
210,8.4951,12.2813,234000,140000,0.5533
220,8.5908,12.2813,234000,140000,0.4765
230,8.6866,12.2813,234000,140000,0.3903
240,8.7851,12.2813,234000,140000,0.4919
250,8.8789,12.2813,234000,140000,0.4981
260,8.9753,12.2813,234000,140000,0.8651
270,9.0670,12.2813,234000,140000,0.6605
280,9.1640,12.2813,234000,140000,0.8098
290,9.2534,12.2813,234000,140000,0.8799
300,9.3429,12.2813,234000,140000,0.6075
310,8.8564,17.0313,234000,140000,2.6419
320,8.9475,17.0313,250000,140000,0.6657
330,9.0426,17.0313,250000,140000,0.5335
340,9.1379,17.0313,250000,140000,0.8303
350,9.2237,17.0313,250000,140000,1.0290
360,9.3148,17.0313,250000,140000,0.6077
370,9.4001,17.0313,250000,140000,0.7460
380,9.4895,17.0313,250000,140000,0.7420
390,9.5768,17.0313,250000,140000,0.8189
400,9.6626,17.0313,250000,140000,0.5525
410,9.7551,17.0313,250000,140000,0.6153
420,9.8420,17.0313,250000,140000,0.6922
430,9.9279,17.0313,250000,140000,0.6302
440,10.0178,17.0313,250000,140000,0.8172
450,10.1065,17.0313,250000,140000,0.7785
460,10.1936,17.0313,250000,140000,0.7621
470,10.2820,17.0313,250000,140000,1.2035
480,10.3700,17.0313,250000,140000,0.8216
490,10.4580,17.0313,250000,140000,0.8420
500,10.5495,17.0313,250000,140000,1.0145
510,10.6375,17.0313,250000,140000,0.8648
520,10.7230,17.0313,265000,140000,0.9769
530,10.8090,17.0313,265000,140000,0.8706
540,10.8972,17.0313,265000,140000,0.8188
550,10.9852,17.0313,265000,140000,0.9941
560,11.0805,17.0313,265000,140000,1.1313
570,11.1701,17.0313,265000,140000,0.7685
580,11.2583,17.0313,265000,140000,0.6687
590,11.3479,17.0313,265000,140000,0.6060
600,11.4352,17.0313,265000,140000,0.7125
610,11.5220,17.0313,265000,140000,0.6580
620,11.6119,17.0313,265000,140000,0.8663
630,11.6997,17.0313,265000,140000,0.7531
640,11.7916,17.0313,265000,140000,0.7935
650,11.8807,17.0313,265000,140000,0.9622
660,11.9694,17.0313,265000,140000,0.7949
670,10.4613,17.5313,265000,140000,2.7213
680,10.5496,17.5313,265000,140000,0.8409
690,10.6368,17.5313,265000,140000,0.6821
700,10.7217,17.5313,281000,140000,0.7319
710,10.8090,17.5313,281000,140000,1.1113
720,10.8974,17.5313,281000,140000,1.3116
730,10.9826,17.5313,281000,140000,0.9879
740,11.0655,17.5313,281000,140000,1.0617
750,11.1500,17.5313,281000,140000,1.0279
760,11.2373,17.5313,281000,140000,1.3600
